Date,Close
"Jan 31, 2000",100
"Feb 29, 2000",100
"Mar 31, 2000",107
"Apr 28, 2000",102
"May 31, 2000",99
"Jun 30, 2000",102
"Jul 31, 2000",99
"Aug 31, 2000",102
"Sep 29, 2000",96
"Oct 31, 2000",94
"Nov 30, 2000",88
"Dec 29, 2000",90
"Jan 31, 2001",92
"Feb 28, 2001",84
"Mar 30, 2001",78
"Apr 30, 2001",84
"May 31, 2001",83
"Jun 29, 2001",80
"Jul 31, 2001",79
"Aug 31, 2001",75
"Sep 28, 2001",68
"Oct 31, 2001",70
"Nov 30, 2001",74
"Dec 31, 2001",74
"Jan 31, 2002",72
"Feb 28, 2002",72
"Mar 29, 2002",75
"Apr 30, 2002",72
"May 31, 2002",72
"Jun 28, 2002",68
"Jul 31, 2002",62
"Aug 30, 2002",62
"Sep 30, 2002",55
"Oct 31, 2002",59
"Nov 29, 2002",62
"Dec 31, 2002",59
"Jan 31, 2003",57
"Feb 28, 2003",56
"Mar 31, 2003",56
"Apr 30, 2003",61
"May 30, 2003",64
"Jun 30, 2003",65
"Jul 31, 2003",66
"Aug 29, 2003",68
"Sep 30, 2003",68
"Oct 31, 2003",72
"Nov 28, 2003",73
"Dec 31, 2003",78
"Jan 30, 2004",79
"Feb 27, 2004",80
"Mar 31, 2004",80
"Apr 30, 2004",78
"May 31, 2004",78
"Jun 30, 2004",80
"Jul 30, 2004",77
"Aug 31, 2004",77
"Sep 30, 2004",79
"Oct 29, 2004",81
"Nov 30, 2004",85
"Dec 31, 2004",88
"Jan 31, 2005",86
"Feb 28, 2005",89
"Mar 31, 2005",87
"Apr 29, 2005",85
"May 31, 2005",86
"Jun 30, 2005",87
"Jul 29, 2005",90
"Aug 31, 2005",91
"Sep 30, 2005",93
"Oct 31, 2005",91
"Nov 30, 2005",94
"Dec 30, 2005",96
"Jan 31, 2006",101
"Feb 28, 2006",100
"Mar 31, 2006",102
"Apr 28, 2006",105
"May 31, 2006",101
"Jun 30, 2006",101
"Jul 31, 2006",101
"Aug 31, 2006",104
"Sep 29, 2006",105
"Oct 31, 2006",109
"Nov 30, 2006",112
"Dec 29, 2006",114
"Jan 31, 2007",115
"Feb 28, 2007",114
"Mar 30, 2007",116
"Apr 30, 2007",121
"May 31, 2007",124
"Jun 29, 2007",124
"Jul 31, 2007",122
"Aug 31, 2007",121
"Sep 28, 2007",128
"Oct 31, 2007",132
"Nov 30, 2007",126
"Dec 31, 2007",125
"Jan 31, 2008",115
"Feb 29, 2008",115
"Mar 31, 2008",113
"Apr 30, 2008",119
"May 30, 2008",120
"Jun 30, 2008",110
"Jul 31, 2008",107
"Aug 29, 2008",105
"Sep 30, 2008",91
"Oct 31, 2008",73
"Nov 28, 2008",68
"Dec 31, 2008",71
"Jan 30, 2009",64
"Feb 27, 2009",58
"Mar 31, 2009",63
"Apr 30, 2009",70
"May 29, 2009",76
"Jun 30, 2009",76
"Jul 31, 2009",82
"Aug 31, 2009",85
"Sep 30, 2009",89
"Oct 30, 2009",88
"Nov 30, 2009",91
"Dec 31, 2009",93
"Jan 29, 2010",89
"Feb 26, 2010",90
"Mar 31, 2010",95
"Apr 30, 2010",95
"May 31, 2010",86
"Jun 30, 2010",83
"Jul 30, 2010",90
"Aug 31, 2010",86
"Sep 30, 2010",95
"Oct 29, 2010",98
"Nov 30, 2010",96
"Dec 31, 2010",102
"Jan 31, 2011",104
"Feb 28, 2011",107
"Mar 31, 2011",106
"Apr 29, 2011",111
"May 31, 2011",108
"Jun 30, 2011",106
"Jul 29, 2011",104
"Aug 31, 2011",96
"Sep 30, 2011",87
"Oct 31, 2011",96
"Nov 30, 2011",93
"Dec 30, 2011",93
"Jan 31, 2012",98
"Feb 29, 2012",103
"Mar 30, 2012",103
"Apr 30, 2012",102
"May 31, 2012",92
"Jun 29, 2012",97
"Jul 31, 2012",98
"Aug 31, 2012",100
"Sep 28, 2012",103
"Oct 31, 2012",102
"Nov 30, 2012",103
"Dec 31, 2012",105
"Jan 31, 2013",110
"Feb 28, 2013",110
"Mar 29, 2013",112
"Apr 30, 2013",114
"May 31, 2013",114
"Jun 28, 2013",110
"Jul 31, 2013",115
"Aug 30, 2013",113
"Sep 30, 2013",118
"Oct 31, 2013",123
"Nov 29, 2013",125
"Dec 31, 2013",127
"Jan 31, 2014",121
"Feb 28, 2014",127
"Mar 31, 2014",127
"Apr 30, 2014",128
"May 30, 2014",131
"Jun 30, 2014",133
"Jul 31, 2014",131
"Aug 29, 2014",134
"Sep 30, 2014",129
"Oct 31, 2014",130
"Nov 28, 2014",132
"Dec 31, 2014",129
"Jan 30, 2015",127
"Feb 27, 2015",134
"Mar 31, 2015",132
"Apr 30, 2015",135
"May 29, 2015",135
"Jun 30, 2015",131
"Jul 31, 2015",132
"Aug 31, 2015",123
"Sep 30, 2015",118
"Oct 30, 2015",127
"Nov 30, 2015",126
"Dec 31, 2015",124
"Jan 29, 2016",116
"Feb 29, 2016",115
"Mar 31, 2016",123
"Apr 29, 2016",125
"May 31, 2016",125
"Jun 30, 2016",124
"Jul 29, 2016",129
"Aug 31, 2016",129
"Sep 30, 2016",130
"Oct 31, 2016",127
"Nov 30, 2016",128
"Dec 30, 2016",131
"Jan 31, 2017",134
"Feb 28, 2017",138
"Mar 31, 2017",139
"Apr 28, 2017",141
"May 31, 2017",144
"Jun 30, 2017",144
"Jul 31, 2017",148
"Aug 31, 2017",148
"Sep 29, 2017",151
"Oct 31, 2017",154
"Nov 30, 2017",157
"Dec 29, 2017",159
"Jan 31, 2018",168
"Feb 28, 2018",160
"Mar 30, 2018",157
"Apr 30, 2018",158
"May 31, 2018",158
"Jun 29, 2018",156
"Jul 31, 2018",161
"Aug 31, 2018",162
"Sep 28, 2018",162
"Oct 31, 2018",150
"Nov 30, 2018",152
"Dec 31, 2018",141
"Jan 31, 2019",152
"Feb 28, 2019",156
"Mar 29, 2019",158
"Apr 30, 2019",163
"May 31, 2019",152
"Jun 28, 2019",162
"Jul 31, 2019",162
"Aug 30, 2019",158
"Sep 30, 2019",161
"Oct 31, 2019",166
"Nov 29, 2019",169
"Dec 31, 2019",175
"Jan 31, 2020",173
"Feb 28, 2020",159
"Mar 31, 2020",137
"Apr 30, 2020",152
"May 29, 2020",158
"Jun 30, 2020",163
"Jul 31, 2020",171
"Aug 31, 2020",181
"Sep 30, 2020",175
"Oct 30, 2020",171
"Nov 30, 2020",192
"Dec 31, 2020",200
"Jan 29, 2021",199
"Feb 26, 2021",204
"Mar 31, 2021",209
"Apr 30, 2021",217
"May 31, 2021",220
"Jun 30, 2021",223
"Jul 30, 2021",224
"Aug 31, 2021",230
"Sep 30, 2021",220
"Oct 29, 2021",231
"Nov 30, 2021",225
"Dec 31, 2021",234
"Jan 31, 2022",222
"Feb 28, 2022",216
"Mar 31, 2022",220
"Apr 29, 2022",202
"May 31, 2022",202
"Jun 30, 2022",185
"Jul 29, 2022",198
"Aug 31, 2022",190
"Sep 30, 2022",171
"Oct 31, 2022",182
"Nov 30, 2022",195
"Dec 30, 2022",188
"Jan 31, 2023",201
"Feb 28, 2023",195
"Mar 31, 2023",200
"Apr 28, 2023",203
"May 31, 2023",200
"Jun 30, 2023",212
"Jul 31, 2023",219
"Aug 31, 2023",213
"Sep 29, 2023",203
"Oct 31, 2023",197
"Nov 30, 2023",215
"Dec 29, 2023",225
"Jan 31, 2024",226
"Feb 29, 2024",236
"Mar 29, 2024",243
"Apr 30, 2024",234
"May 31, 2024",243
"Jun 28, 2024",248
"Jul 31, 2024",252
"Aug 30, 2024",258
"Sep 30, 2024",264
"Oct 31, 2024",258
"Nov 29, 2024",267
"Dec 31, 2024",261
