"Date","Close"
"Jan 31, 2000","100.000"
"Feb 29, 2000","112.136"
"Mar 31, 2000","104.966"
"Apr 28, 2000","97.982"
"May 31, 2000","102.141"
"Jun 30, 2000","108.940"
"Jul 31, 2000","104.236"
"Aug 31, 2000","102.747"
"Sep 29, 2000","96.646"
"Oct 31, 2000","98.817"
"Nov 30, 2000","100.611"
"Dec 29, 2000","102.666"
"Jan 31, 2001","104.459"
"Feb 28, 2001","93.968"
"Mar 30, 2001","88.050"
"Apr 30, 2001","92.443"
"May 31, 2001","83.984"
"Jun 29, 2001","79.787"
"Jul 31, 2001","81.494"
"Aug 31, 2001","80.658"
"Sep 28, 2001","69.546"
"Oct 31, 2001","71.764"
"Nov 30, 2001","73.076"
"Dec 31, 2001","74.022"
"Jan 31, 2002","71.395"
"Feb 28, 2002","71.230"
"Mar 29, 2002","75.760"
"Apr 30, 2002","75.979"
"May 31, 2002","73.579"
"Jun 28, 2002","73.196"
"Jul 31, 2002","65.783"
"Aug 30, 2002","66.703"
"Sep 30, 2002","57.509"
"Oct 31, 2002","62.278"
"Nov 29, 2002","68.074"
"Dec 31, 2002","66.617"
"Jan 31, 2003","65.608"
"Feb 28, 2003","67.647"
"Mar 31, 2003","62.311"
"Apr 30, 2003","70.709"
"May 30, 2003","78.108"
"Jun 30, 2003","75.601"
"Jul 31, 2003","75.407"
"Aug 29, 2003","72.964"
"Sep 30, 2003","75.761"
"Oct 31, 2003","79.466"
"Nov 28, 2003","85.809"
"Dec 31, 2003","89.816"
"Jan 30, 2004","91.649"
"Feb 27, 2004","92.653"
"Mar 31, 2004","89.481"
"Apr 30, 2004","90.670"
"May 31, 2004","89.897"
"Jun 30, 2004","92.154"
"Jul 30, 2004","89.905"
"Aug 31, 2004","89.025"
"Sep 30, 2004","94.093"
"Oct 29, 2004","99.544"
"Nov 30, 2004","107.085"
"Dec 31, 2004","115.478"
"Jan 31, 2005","112.807"
"Feb 28, 2005","116.379"
"Mar 31, 2005","116.063"
"Apr 29, 2005","110.314"
"May 31, 2005","107.869"
"Jun 30, 2005","107.621"
"Jul 29, 2005","112.171"
"Aug 31, 2005","112.789"
"Sep 30, 2005","114.938"
"Oct 31, 2005","106.828"
"Nov 30, 2005","109.029"
"Dec 30, 2005","114.009"
"Jan 31, 2006","119.950"
"Feb 28, 2006","121.030"
"Mar 31, 2006","123.959"
"Apr 28, 2006","128.153"
"May 31, 2006","126.335"
"Jun 30, 2006","125.570"
"Jul 31, 2006","126.143"
"Aug 31, 2006","131.359"
"Sep 29, 2006","131.168"
"Oct 31, 2006","135.963"
"Nov 30, 2006","143.092"
"Dec 29, 2006","146.005"
"Jan 31, 2007","145.915"
"Feb 28, 2007","144.340"
"Mar 30, 2007","147.304"
"Apr 30, 2007","157.674"
"May 31, 2007","153.289"
"Jun 29, 2007","149.521"
"Jul 31, 2007","145.234"
"Aug 31, 2007","144.598"
"Sep 28, 2007","150.012"
"Oct 31, 2007","155.021"
"Nov 30, 2007","152.120"
"Dec 31, 2007","149.899"
"Jan 31, 2008","135.334"
"Feb 29, 2008","135.054"
"Mar 31, 2008","132.333"
"Apr 30, 2008","139.733"
"May 30, 2008","136.259"
"Jun 30, 2008","121.144"
"Jul 31, 2008","115.653"
"Aug 29, 2008","110.648"
"Sep 30, 2008","93.804"
"Oct 31, 2008","71.643"
"Nov 28, 2008","67.235"
"Dec 31, 2008","71.803"
"Jan 30, 2009","61.808"
"Feb 27, 2009","53.310"
"Mar 31, 2009","57.028"
"Apr 30, 2009","67.567"
"May 29, 2009","75.398"
"Jun 30, 2009","71.760"
"Jul 31, 2009","77.746"
"Aug 31, 2009","85.004"
"Sep 30, 2009","90.737"
"Oct 30, 2009","86.237"
"Nov 30, 2009","87.112"
"Dec 31, 2009","88.048"
"Jan 29, 2010","80.598"
"Feb 26, 2010","76.094"
"Mar 31, 2010","81.635"
"Apr 30, 2010","75.942"
"May 31, 2010","63.440"
"Jun 30, 2010","62.550"
"Jul 30, 2010","72.450"
"Aug 31, 2010","67.055"
"Sep 30, 2010","74.588"
"Oct 29, 2010","79.330"
"Nov 30, 2010","66.668"
"Dec 31, 2010","72.530"
"Jan 31, 2011","80.601"
"Feb 28, 2011","82.860"
"Mar 31, 2011","82.515"
"Apr 29, 2011","89.085"
"May 31, 2011","81.437"
"Jun 30, 2011","78.573"
"Jul 29, 2011","71.297"
"Aug 31, 2011","60.815"
"Sep 30, 2011","53.749"
"Oct 31, 2011","60.988"
"Nov 30, 2011","56.410"
"Dec 30, 2011","53.849"
"Jan 31, 2012","57.275"
"Feb 29, 2012","60.151"
"Mar 30, 2012","58.640"
"Apr 30, 2012","53.634"
"May 31, 2012","44.189"
"Jun 29, 2012","50.189"
"Jul 31, 2012","47.457"
"Aug 31, 2012","52.649"
"Sep 28, 2012","53.624"
"Oct 31, 2012","55.380"
"Nov 30, 2012","56.451"
"Dec 31, 2012","58.481"
"Jan 31, 2013","63.696"
"Feb 28, 2013","55.676"
"Mar 29, 2013","52.765"
"Apr 30, 2013","58.862"
"May 31, 2013","58.815"
"Jun 28, 2013","52.005"
"Jul 31, 2013","57.370"
"Aug 30, 2013","57.867"
"Sep 30, 2013","61.873"
"Oct 31, 2013","69.210"
"Nov 29, 2013","67.901"
"Dec 31, 2013","68.347"
"Jan 31, 2014","68.706"
"Feb 28, 2014","73.603"
"Mar 31, 2014","78.319"
"Apr 30, 2014","79.450"
"May 30, 2014","77.727"
"Jun 30, 2014","76.992"
"Jul 31, 2014","72.858"
"Aug 29, 2014","71.218"
"Sep 30, 2014","69.994"
"Oct 31, 2014","65.913"
"Nov 28, 2014","65.891"
"Dec 31, 2014","60.534"
"Jan 30, 2015","60.543"
"Feb 27, 2015","65.613"
"Mar 31, 2015","64.672"
"Apr 30, 2015","67.284"
"May 29, 2015","67.185"
"Jun 30, 2015","65.228"
"Jul 31, 2015","67.925"
"Aug 31, 2015","64.311"
"Sep 30, 2015","62.216"
"Oct 30, 2015","65.027"
"Nov 30, 2015","62.865"
"Dec 31, 2015","60.696"
"Jan 29, 2016","52.467"
"Feb 29, 2016","49.736"
"Mar 31, 2016","53.617"
"Apr 29, 2016","54.957"
"May 31, 2016","51.811"
"Jun 30, 2016","46.758"
"Jul 29, 2016","48.756"
"Aug 31, 2016","49.108"
"Sep 30, 2016","47.617"
"Oct 31, 2016","48.428"
"Nov 30, 2016","46.581"
"Dec 30, 2016","52.642"
"Jan 31, 2017","51.188"
"Feb 28, 2017","51.027"
"Mar 31, 2017","55.770"
"Apr 28, 2017","56.792"
"May 31, 2017","59.097"
"Jun 30, 2017","59.700"
"Jul 31, 2017","64.079"
"Aug 31, 2017","65.253"
"Sep 29, 2017","67.566"
"Oct 31, 2017","66.622"
"Nov 30, 2017","66.910"
"Dec 29, 2017","65.885"
"Jan 31, 2018","73.378"
"Feb 28, 2018","69.041"
"Mar 30, 2018","69.244"
"Apr 30, 2018","72.888"
"May 31, 2018","63.573"
"Jun 29, 2018","62.984"
"Jul 31, 2018","64.806"
"Aug 31, 2018","58.657"
"Sep 28, 2018","59.858"
"Oct 31, 2018","54.247"
"Nov 30, 2018","54.581"
"Dec 31, 2018","52.704"
"Jan 31, 2019","56.993"
"Feb 28, 2019","58.946"
"Mar 29, 2019","60.149"
"Apr 30, 2019","61.120"
"May 31, 2019","55.227"
"Jun 28, 2019","60.478"
"Jul 31, 2019","59.459"
"Aug 30, 2019","58.629"
"Sep 30, 2019","60.103"
"Oct 31, 2019","62.855"
"Nov 29, 2019","63.136"
"Dec 31, 2019","64.860"
"Jan 31, 2020","63.229"
"Feb 28, 2020","58.989"
"Mar 31, 2020","45.698"
"Apr 30, 2020","46.510"
"May 29, 2020","48.890"
"Jun 30, 2020","52.549"
"Jul 31, 2020","54.295"
"Aug 31, 2020","56.246"
"Sep 30, 2020","53.016"
"Oct 30, 2020","49.359"
"Nov 30, 2020","62.555"
"Dec 31, 2020","64.849"
"Jan 29, 2021","62.035"
"Feb 26, 2021","65.571"
"Mar 31, 2021","68.666"
"Apr 30, 2021","68.792"
"May 31, 2021","72.784"
"Jun 30, 2021","70.381"
"Jul 30, 2021","70.649"
"Aug 31, 2021","71.576"
"Sep 30, 2021","69.236"
"Oct 29, 2021","72.502"
"Nov 30, 2021","67.503"
"Dec 31, 2021","72.445"
"Jan 31, 2022","70.321"
"Feb 28, 2022","66.917"
"Mar 31, 2022","64.930"
"Apr 29, 2022","59.848"
"May 31, 2022","61.235"
"Jun 30, 2022","52.317"
"Jul 29, 2022","53.421"
"Aug 31, 2022","50.940"
"Sep 30, 2022","47.600"
"Oct 31, 2022","52.986"
"Nov 30, 2022","59.817"
"Dec 30, 2022","59.800"
"Jan 31, 2023","67.361"
"Feb 28, 2023","67.764"
"Mar 31, 2023","68.209"
"Apr 28, 2023","70.356"
"May 31, 2023","65.039"
"Jun 30, 2023","72.099"
"Jul 31, 2023","76.354"
"Aug 31, 2023","73.385"
"Sep 29, 2023","70.354"
"Oct 31, 2023","69.489"
"Nov 30, 2023","76.375"
"Dec 29, 2023","78.749"
"Jan 31, 2024","78.630"
"Feb 29, 2024","83.197"
"Mar 29, 2024","89.096"
"Apr 30, 2024","85.251"
"May 31, 2024","88.449"
"Jun 28, 2024","83.933"
"Jul 31, 2024","86.707"
"Aug 30, 2024","90.958"
"Sep 30, 2024","90.771"
"Oct 31, 2024","88.862"
"Nov 29, 2024","83.625"
"Dec 31, 2024","83.888"
